Kabupaten/Kota;AHH;HLS;RLS;Pengeluaran per Kapita Riil (Rp);IPM;Tahun
Kabupaten Blitar;72.47;11.37;6.67;9217.46;66.49;2013
Kabupaten Kediri;72.02;11.85;7.24;9604.58;68.01;2013
Kabupaten Malang;71.76;11.02;6.59;8788.49;65.2;2013
Kabupaten Lumajang;69.02;10.94;5.88;7868.79;61.87;2013
Kabupaten Jember;67.75;11.87;5.62;8198.14;62.43;2013
Kabupaten Banyuwangi;69.88;11.39;6.84;10341.06;66.74;2013
Kabupaten Bondowoso;65.36;12.76;5.48;9138.26;63.21;2013
Kabupaten Situbondo;68.03;12.9;5.28;8350.9;63.43;2013
Kabupaten Probolinggo;65.69;11.32;5.61;9847.45;62.61;2013
Kabupaten Pasuruan;69.8;11.63;6.08;8261.03;63.74;2013
Kabupaten Sidoarjo;73.43;13.25;10.03;12601.8;76.39;2013
Kabupaten Mojokerto;71.75;11.86;7.57;11171.16;69.84;2013
Kabupaten Jombang;71.34;12.43;7.4;9677.98;68.63;2013
Kabupaten Nganjuk;70.83;12.34;7.15;10717.39;68.98;2013
Kabupaten Madiun;69.7;12.53;6.74;10624.84;68.07;2013
Kabupaten Magetan;71.87;12.57;7.43;10483.57;69.86;2013
Kabupaten Ngawi;71.28;12.18;6.27;10104.62;67.25;2013
Kabupaten Bojonegoro;70.07;12.04;5.9;8934.19;64.85;2013
Kabupaten Tuban;70.22;11.13;6.14;8871.88;64.14;2013
Kabupaten Lamongan;71.43;13.22;7.06;9511.33;68.9;2013
Kabupaten Gresik;72.19;12.85;8.41;11479.66;72.47;2013
Kabupaten Bangkalan;69.6;10.96;4.9;7433.51;60.19;2013
Kabupaten Sampang;67.46;10.2;3.34;7769.25;56.45;2013
Kabupaten Pamekasan;66.53;13.05;5.68;7445.21;62.27;2013
Kabupaten Sumenep;69.98;12.18;4.58;7092.74;60.84;2013
Kota Kediri;73.51;13.27;9.57;10670.36;74.18;2013
Kota Blitar;72.69;13.15;9.53;11641.24;74.53;2013
Kota Malang;72.28;14.16;9.82;15378.09;78.44;2013
Kota Probolinggo;69.5;12.97;8.42;10089.5;70.05;2013
Kota Pasuruan;70.52;13.29;9.03;11483.64;72.89;2013
Kota Mojokerto;72.37;13.24;9.91;11625.22;74.91;2013
Kota Madiun;72.38;13.33;10.86;14603.96;78.41;2013
Kota Surabaya;73.83;13.13;10.05;15487.63;78.51;2013
Kota Batu;72.05;12.71;8.34;10802.98;71.55;2013
Kabupaten Pacitan;70.75;11.61;6.43;7655.87;63.81;2014
Kabupaten Ponorogo;71.88;13.04;6.91;8382.8;67.4;2014
Kabupaten Trenggalek;72.51;11.64;6.87;8416.61;66.16;2014
Kabupaten Tulungagung;72.88;12.72;7.45;9505.43;69.49;2014
Kabupaten Blitar;72.5;11.49;6.82;9244.88;66.88;2014
Kabupaten Kediri;72.04;12.01;7.41;9632.64;68.44;2014
Kabupaten Malang;71.78;11.25;6.66;8816.54;65.59;2014
